"id","titulo","texto","data","url"
14,"guaruja - par. 14","Em 1911, a companhia é adquirida pelo empresário norte-americano Percival Farquhar, passando a se denominar Companhia Guarujá..[13] O novo Grand Hôtel de la Plage foi reinaugurado em 1912, tendo sido um marco para o turismo de luxo no Brasil. O sucesso do hotel e a reputação de Guarujá como destino de verão da classe alta paulistana levam a um contínuo desenvolvimento da vila durante a primeira metade do século XX. Neste mesmo hotel, em 1932, morreria o aeronauta e inventor brasileiro Alberto Santos Dumont, onde havia se hospedado após sérios problemas de saúde. Em 1923, a vila foi transformada em distrito de paz e, em 30 de junho de 1926, o distrito tornou-se prefeitura sanitária, separando-se de Santos.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
15,"guaruja - par. 15","A eletrificação foi inaugurada a 11 de janeiro de 1925. Com a eletrificação da linha, bondes elétricos passaram a circular, junto às locomotivas a vapor. Os equipamentos usados na eletrificação foram fornecidos pela Siemens; as obras foram dirigidas pelo engenheiro Ettore Bertacin, da Casa Siemens de São Paulo, e tiveram duração de oito meses. A subestação elétrica principal, que também abastecia o distrito de Itapema, estava localizada ""próximo das torres grandes da Companhia Docas de Santos"", recebendo a corrente em 40 000 volts e transformando-a em 6 600 volts. A subestação retificadora, que reduzia e retificava a corrente alternada de 6,6 kV para 750 volts a ser usada na linha de contato, situava-se no quilômetro quatro da via férrea, ou seja, próximo à metade de seu percurso, no bairro da Conceiçãozinha. Todo o material rodante era de origem alemã, tendo sido produzido pelas firmas Siemens e M.A.N. - Maschinenfabrik Augusburg Nürnberg. Foram adquiridos dois bondes de 106 HP, numerados #3 e #9, e uma locomotiva elétrica de 106 HP para tracionar trens de carga. Esta máquina, com 18 t de peso, tinha capacidade de tracionar trens de 47 toneladas de carga a uma velocidade de 45 km/h.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
16,"guaruja - par. 16","Em 1930, esta empresa adquiriu mais dois bondes da M.A.N., numerados #5 e #7, e construiu um ramal de três quilômetros até o Sítio Cachoeira para o transporte de carga, com extensão aproximada de 2,5 km. O bonde #3 seria sucateado após um acidente ocorrido na década de 1930. Em 1931, a prefeitura sanitária é extinta, com a reintegração da ilha ao território de Santos e Guarujá volta a ter autonomia apenas em 30 de junho de 1934, no antigo status de ""prefeitura sanitária"". Com a deterioração da estação férrea original de Guarujá, construída em 1893 entre a praia e o Grande Hotel, foi necessário construir uma nova e o local escolhido foi outro: o antigo pátio de cargas do bonde, na avenida Leomil, a dois quarteirões da praia. Em 30 de junho de 1934 foi criada a Estância Balneária de Guarujá, evento que motivou a realização de melhorias no serviço do Tramway de Guarujá. Decidiu-se então construir uma nova estação e oficinas, localizadas agora na Av. Leomil, a dois quarteirões da praia. Elas foram inauguradas a 21 de dezembro de 1935. Com a inauguração do novo prédio, o velho foi desativado e demolido. Os bondes foram transferidos para a Estrada de Ferro Campos do Jordão, onde são usados até hoje, e uma de suas locomotivas está exposta na avenida Leomil, em Pitangueiras, em Guarujá.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
17,"guaruja - par. 17","O Forte dos Andradas começou a ser construído em 1934 pelo tenente-coronel de Engenharia João Luís Monteiro de Barros e foi inaugurado em 10 de novembro de 1942, constituindo-se a principal defesa da entrada da Baía de Santos ao sul da Ilha de Santo Amaro. Recebeu esse nome em homenagem aos irmãos Andradas (José Bonifácio, Antônio Carlos e Martim Francisco) que tiveram muita importância durante o período imperial.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
18,"guaruja - par. 18","Em 1947 as prefeituras sanitárias são extintas e Guarujá torna-se município de pleno direito. O fim dos jogos de azar no governo de Eurico Gaspar Dutra e a construção da via Anchieta, ligando a Baixada Santista a São Paulo, modificam a ocupação da ilha. A antiga vila balneária se adensa com a chegada de maiores quantidades de turistas e novos moradores. Edifícios começam a surgir na orla de Pitangueiras e Astúrias e praias até então desertas, como Enseada, Pernambuco e a própria Perequê começam a ser visitadas. Paralelamente, migrantes nordestinos vão para a ilha à procura de emprego, fixando-se na região do velho forte de Itapema, dando origem ao distrito de Vicente de Carvalho.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
19,"guaruja - par. 19","Entre as décadas de 1970 e 1980, Guarujá cresce descontroladamente. Toda a orla da cidade entre as praias do Tombo e Pernambuco é ocupada por diversos loteamentos e edifícios, sem a necessária contrapartida de infraestrutura. O milagre econômico dos anos 1970, a construção da Rodovia Piaçagüera-Guarujá, ligando a ilha diretamente à Via Anchieta e em menor grau às novas rodovias Rio-Santos e Mogi-Bertioga (dando o acesso ao Vale do Paraíba e ao Litoral Norte) provocam a explosão do turismo e da migração para a ilha. A qualidade ambiental vai caindo, com a poluição das águas e a ocupação de áreas sensíveis como morros e mangues. O número cada vez maior de turistas, moradores e migrantes sobrecarrega Guarujá.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
20,"guaruja - par. 20","Um dos principais pontos de referência da cidade de Guarujá é o Morro do Maluf, entre as praias de Pitangueiras e Enseada. O morro pertencia a Edmundo Maluf, industrial em São Paulo, solteiro, que tinha casa na ladeira do morro e dava festas memoráveis, agitando os fins de semana de Guarujá. A situação se torna crítica no final da década de 1980 e início de 1990, quando milhões de turistas visitam a ilha todos os verões, provocando o colapso da infraestrutura, com cortes de eletricidade, falta de água e poluição das praias. Extensas áreas do município são ocupadas por favelas, habitadas pelos migrantes em busca de novas oportunidades e a criminalidade toma corpo. O cenário caótico leva a uma profunda crise no turismo e na economia de Guarujá, que perde turistas e investimentos para o Litoral Norte e até mesmo para outras cidades da Baixada Santista.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
21,"guaruja - par. 21","A segunda metade da década de 1990 vê uma recuperação progressiva do balneário, com investimentos em saneamento, habitação, infraestrutura e até mesmo efeitos benéficos da divisão do total de turistas com outras regiões, reduzindo a sobrecarga na cidade. Paulatinamente, Guarujá começa a receber novos investimentos e a desenvolver o turismo de negócios e a prestação de serviços, visando a expandir sua base econômica e se tornar menos dependente do turismo sazonal.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
22,"guaruja - par. 22","O município possui relevo característico de planície litorânea. As elevações têm altitude média entre 130 e 160 metros, chegando ao máximo de aproximadamente 300 metros. Sua vegetação predominante é de floresta ombrófila densa, que ocorre na Serra do Mar.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
23,"guaruja - par. 23","Os seguintes rios correm pelo território de Guarujá:[14] Rio de Santo Amaro; Rio do Meio; Rio Icanhema; Rio do Peixe; Rio do Pote; Rio Acaraú; Rio Comprido e Rio dos Patos.[carece de fontes]?","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
24,"guaruja - par. 24","Guarujá está a uma altitude de 10 metros e possui clima subtropical (classificação ""Cfa""), que se caracteriza por apresentar médias elevadas de temperatura do ar e pluviosidade.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
25,"guaruja - par. 25","A temperatura média anual é de 21,8 °C, com média mínima de 18 °C e média máxima de 25,3 °C. Seu índice pluviométrico anual é de 2 556 milímetros (mm), sendo janeiro o mês de maior precipitação (325 mm) e agosto o de menor (102 mm).[15]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
26,"guaruja - par. 26","O Cristianismo se faz presente na cidade da seguinte forma:[23]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
27,"guaruja - par. 27","A Igreja Católica é representada na cidade pela Diocese de Santos.[24]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
28,"guaruja - par. 28","Entre as igrejas protestantes históricas, pentecostais e neopentecostais, encontram-se na cidade:[25][26]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
29,"guaruja - par. 29","Situado na Ilha de Santo Amaro, ao largo de Santos e de Bertioga, o município dispõe de um conjunto de 27 praias, algumas isoladas e acessíveis apenas por trilha ou barco, e outras em áreas  urbanizadas. Sua economia está apoiada na atividade turística, mas também possui atividade marítima de lazer e indústria e uma intensa atividade portuária. Conta, ainda, com movimento comercial em Vicente de Carvalho, que é o segundo maior da Região Metropolitana. Pelo seu histórico, infraestrutura e proximidade com a capital mais populosa do país, oferece forte atrativo imobiliário e turístico. Boa parte da região da orla, nas praias próximas de centro (principalmente Astúrias, Pitangueiras, Enseada, e Tombo) é tomada por edificações dedicadas à população sazonal, que as ocupa principalmente nas férias de verão.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
30,"guaruja - par. 30","O turismo, sazonal, e os ganhos advindos do mercado imobiliário-turístico (incluindo impostos, compra/venda/aluguel, segurança e manutenção predial) movimentam parte significativa da economia de Guarujá.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
31,"guaruja - par. 31","A outra parte, relevante e não-sazonal, advém do porto (margem esquerda do Porto de Santos) e atividades afins, tais como transporte. Devido a sua proximidade com Cubatão (maior distrito industrial do país) e portos, existe também interesse pela ocupação industrial na região, iniciada em 1976 pela Dow Química,[31] ainda hoje a única grande indústria a ocupar a região.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
32,"guaruja - par. 32","Segundo dados do IBGE[32] de 2006, ""a produção de riquezas na área de serviços, no município, somou, naquele ano, R$ 1,820 bilhão, o equivalente a 0,14% em participação no PIB brasileiro"".[33]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
33,"guaruja - par. 33","O acesso a Guarujá (Ilha de Santo Amaro) pode ser feito por balsas da Travessia Santos-Guarujá, que partem da Ponta da Praia, em Santos. Na travessia são utilizadas seis balsas que têm capacidade para 12 a 72 carros, transportando atualmente 1 500 carros por hora e 23 000 veículos por dia. É a travessia com o maior fluxo de veículos do mundo nessa categoria.[34]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
34,"guaruja - par. 34","Outro acesso é pela rodovia Cônego Domênico Rangoni, que percorre a área continental do município de Santos, chegando à Ilha de Santo Amaro através da ponte do Monte Cabrão, no canal de Bertioga. Após o Canal de Bertioga, temos quatro entradas para a cidade. Uma é o trevo da Vila Áurea; outra é a Rua Professor Idalino Pinez, mais conhecida como Rua do Adubo, ambas largamente utilizadas pelos caminhões que chegam e buscam o cais do Porto de Santos. A terceira é o viaduto que atravessa a rodovia e os bairros de Morrinhos e Vila Zilda, fazendo a ligação com o túnel em direção à praia da Enseada e outras. A quarta e mais importante entrada fica no fim do trecho sob jurisdição da Ecovias e dá acesso direto à sede do município. Pedestres podem aceder à ilha por via marítima: as barcas partem do centro de Santos com destino a Vicente de Carvalho. Há barcas também na Ponta da Praia, em Santos, com destino ao outro lado do estuário.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
35,"guaruja - par. 35","Além dos meios convencionais de transporte, merece destaque o uso de bicicletas. Um estudo da Agência Metropolitana (Agem) detectou que a maioria dos ciclistas faz da bicicleta o meio de transporte para o trabalho. Principalmente moradores de Vicente de Carvalho que trabalham no porto. Entre os municípios da Baixada Santista, Guarujá é o que tem o maior número de bicicletas. De acordo com o departamento de trânsito, dos 265 000 habitantes, 35 000 usam bicicleta, um mercado que vem crescendo 5% ao ano. O município conta com cinco estacionamentos exclusivos para bicicletas, alguns funcionando 24 horas. Segundo a Dersa (empresa que administra a travessia marítima entre Santos e Guarujá), transitam pelas balsas uma média diária de 14 mil bicicletas nos dois sentidos. Essa quantidade de bicicletas como meio de transporte levou as cidades da região a adequar suas estruturas urbanas para os ciclistas. Guarujá implantou 16,47 km de ciclovias e ciclofaixas e prevê implantar mais 12,89 km até 2011.","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
36,"guaruja - par. 36","O sistema de telefones automáticos foi inaugurado na cidade em 1964 pela empresa Serviços Municipais de Telefones Automáticos (SMTA), administrada pela Companhia Telefônica Brasileira (CTB).[35] Já o sistema de discagem direta à distância (DDD) foi implantado em 1974 pela Telecomunicações de São Paulo (TELESP) com o código de área (0132).[36]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
37,"guaruja - par. 37","Na década de 90 o código DDD da cidade foi alterado para (013), para padronização do sistema telefônico com a telefonia celular que estava sendo implantada em todo o estado.[37]","2026/06/29","https://pt.wikipedia.org/wiki/Guarujá"
38,"santos - par. 1","Santos é um município brasileiro no litoral do estado de São Paulo, Região Sudeste do país. Abriga o maior porto da América Latina,[9] que é o principal responsável pela dinâmica econômica da cidade ao lado do turismo, da pesca e do comércio.[10] Ocupa a 5.ª colocação entre as não capitais mais importantes para a economia brasileira[11] e 10.ª colocada segundo a qualidade de vida.[12] A cidade é sede do poder executivo paulista todo dia 13 de junho (capital simbólica de São Paulo)[13] e não apenas sede de diversas instituições de ensino superior como também da mais antiga entidade geral estudantil do Brasil, o Centro dos Estudantes de Santos.","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
39,"santos - par. 2","Fundada em 1546 por Brás Cubas, sendo uma das cidades mais antigas das Américas,[14] Santos se tornou um centro do ciclo do café no século XIX.[15] Em 1922, foi inaugurada a Bolsa Oficial do Café, onde eram negociadas riquezas do mercado cafeeiro para o país[16] e que resultou no atual Museu do Café no Centro Histórico, que promove exposições sobre a trajetória do produto pelo Brasil e pela cidade e que é decorado com obras do artista Benedito Calixto.[17] Atualmente, Santos possui uma economia pujante, principalmente por conta de seu complexo portuário. Em 2016, a cidade era a 33ª mais rica do país, com produto interno bruto de 21 954 556,74 de reais.","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
40,"santos - par. 3","Cidade mais populosa do litoral paulista,[18] a estimativa de população em 2020 era de 433 656 habitantes.[5] A Região Metropolitana da Baixada Santista, com 1,8 milhão de habitantes, é parte - junto com a Grande São Paulo e a Região Metropolitana de Campinas - do Complexo Metropolitano Expandido, uma megalópole que ultrapassa os 30 milhões de habitantes (cerca 75% da população paulista) e que é a primeira aglomeração urbana do tipo no hemisfério sul da Terra.[19]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
41,"santos - par. 4","O principal cartão-postal do município são os 7 km de praia. O Guinness World Records situa os jardins da orla de Santos como formadores do maior jardim frontal de praia em extensão do mundo.[20] A preservação e o cuidado com a flora do ambiente praiano santista, permeado de palmeiras e amendoeiras,[21] são resultados de um trabalho em conjunto dos departamentos de meio ambiente da região, muitas vezes ligados a universidades ou a instituições científicas.[22] Em 2010, o Programa das Nações Unidas para o Desenvolvimento das Nações Unidas posicionou a cidade em sexto lugar na lista dos municípios brasileiros por índice de desenvolvimento humano e em terceiro lugar na lista dos municípios de São Paulo por índice de desenvolvimento humano, sendo um dos municípios menos violentos do país.[6][23] Entretanto, Santos enfrentava (dados de 2011/12) alto custo de vida[24] e constante especulação imobiliária.[25] Além disso, abriga a maior favela de palafitas do país, o Dique da Vila Gilda, onde vivem, em dados de 2012, mais de 10 mil pessoas.[26]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
42,"santos - par. 5","Verificam-se relatos a respeito da Ilha de São Vicente apenas dois anos após o descobrimento oficial do Brasil, em 1502, com a expedição de Américo Vespúcio para o reconhecimento da costa brasileira. Ao passar pela ilha dantes conhecida pelos indígenas sob o nome de Goiaó (ou Guaiaó), a expedição decidiu dar-lhe o nome do santo do dia, São Vicente.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
43,"santos - par. 6","A coroa portuguesa interessou-se pouco pela região nos trinta anos que se seguiram à expedição. Durante este tempo, vários corsários e piratas acudiam à região em busca do pau-brasil, madeira nobre que era objeto de cobiça na época, largamente explorada pelos portugueses na Mata Atlântica abundante da região.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
44,"santos - par. 7","No entanto, em 1531, devido à decadência dos negócios da coroa portuguesa na Índia, o Brasil volta ao centro das atenções. Uma esquadra de demarcação e posse de territórios é enviada pelo monarca D. João III à Ilha de São Vicente. O chefe da esquadra, o navegador Martim Afonso de Sousa, encontra na entrada do atual estuário de Santos (Ponta da Praia) um pequeno povoado e um atracadouro, conhecido como Porto de São Vicente. Um dos degredados trazidos pela expedição de Américo Vespúcio, Cosme Fernandes, fundara aí essa colônia, e prosperava graças ao comércio com os indígenas. A vila de São Vicente também refletia a prosperidade das atividades econômicas de Fernandes.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
45,"santos - par. 8","Martim Afonso, no entanto, expulsou Cosme Fernandes das terras e ocupou o porto de São Vicente. Também distribuiu sesmarias na parte norte da ilha, conhecida como Enguaguaçu, onde se encontravam terras adequadas ao plantio. Aí, se estabeleceram colonizadores portugueses, tais como Luís de Góis (e sua esposa Catarina de Andrade), Domingos Pires, Pascoal Fernandes, Francisco Pinto, Rui Pinto e os irmãos José e Francisco Adorno, que construíram um engenho perto do atual Morro de São Bento.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
46,"santos - par. 9","A vida do novo povoado, entre 1530 e 1543, passou a girar em torno do engenho e do plantio. Com a invasão e saqueio da vila de São Vicente por Cosme Fernandes, na Guerra de Iguape, que se vingou por haver sido expulso em 1531 por Martim Afonso de Sousa e, com o maremoto posterior que danificou seriamente essa vila, a população do povoado do Enguaguaçu só fez crescer.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
47,"santos - par. 10","Em 1543, com o término da construção de uma capela num outeiro em homenagem a Santa Catarina (mártir cristã) por Luís de Góis, Brás Cubas conseguiu a transferência do Porto para o sítio do Enguaguaçu, que era mais seguro e o apoio do povoado era necessário para as embarcações que aportavam e para o fornecimento das mercadorias a exportar. O fidalgo português também levou a cabo a instalação de um hospital, nos moldes da Santa Casa de Lisboa, acelerando o desenvolvimento do local. O hospital foi denominado Santa Casa de Misericórdia de Todos os Santos e foi o segundo hospital do Brasil - sendo o mais antigo do país em funcionamento, uma vez que o Hospital da Santa Casa de Misericórdia de Olinda foi extinto.[30][31] O novo povoado de Enguaguaçu passou então a ser conhecido como o povoado de Todos os Santos. Uma outra hipótese sobre o nome Santos viria do porto de Santos que havia em Lisboa, semelhante ao local do novo povoado. Daí, então a região próxima ao Outeiro era conhecida como ""Vila do Porto de Santos"", e depois, apenas ""Santos"".[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
48,"santos - par. 11","Dessa forma, o povoado cresceu em importância: foi elevado à condição de vila por Brás Cubas em 1546 (data controversa, o ano de 1543 também é defendido por certos historiadores), vivendo os seus primeiros anos de ocupação por imigrantes portugueses e espanhóis. A Capela de Santa Catarina se tornou a Igreja Matriz da vila. Ainda hoje, comenta-se o fato de Santos ser uma das poucas cidades que conhecem exatamente o seu local de nascimento: o Outeiro de Santa Catarina, que existe até hoje.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
49,"santos - par. 12","A segunda metade do século XVI foi significativa para Santos: criaram-se a Alfândega de Santos em 1550 - o mesmo ano da chegada dos padres jesuítas para a catequização dos índios tupis que ali moravam em núcleo, o arsenal de defesa em 1552, e instalou-se a ordem dos carmelitas em 1589. Mas também foi uma época em que Santos sofreu com a invasão e com os saques dos corsários, por ser um porto relativamente próspero.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
50,"santos - par. 13","O saque do pirata Thomas Cavendish, em 1591, deu origem em Santos à lenda do milagre de Nossa Senhora do Monte Serrat, padroeira da cidade. Conta a lenda que a população santista se refugiou num dos morros da cidade, o morro de São Jerônimo, para escapar aos piratas. Neste morro havia uma capela à qual um fidalgo espanhol trouxera uma imagem de Nossa Senhora de Montserrat (daí o nome dado ao morro, Monte Serrat).[27][28][29] A população orava na capela de Montserrat quando os piratas começaram a subir para atacá-los e um deslizamento de terra, atribuído à Santa, os fez fugir. Desde então, Nossa Senhora do Monte Serrat é celebrada como padroeira da cidade, e seu dia é comemorado no dia 8 de setembro. Cavendish também destruiu o Outeiro de Santa Catarina e o Engenho dos Erasmos, sendo um dos responsáveis pelo declínio da incipiente economia canavieira da Capitania de São Vicente.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
51,"santos - par. 14","Thomas Cavendish permaneceu por dois meses em Santos, saqueando o que podia, chegou a roubar dois sacos de ouro que teriam vindo de uma mina no pico da Jaraguá.   Partiram daí para o Estreito de Magalhães com a finalidade de atacar as colônias espanholas, mas devido ter se demorado muito em Santos, pegaram mau tempo no Estreito de Magalhães onde ficaram presos, muitos de sua tripulação morreram de frio e de fome, tendo retornado a Santos para pedir ajuda na Santa Casa.[32]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
52,"santos - par. 15","No século XVII, seguindo uma tendência de toda a Capitania de São Vicente, a vila de Santos entra em um longo e lento processo de estagnação e posterior decadência. Muitos habitantes da vila, na tentativa de buscar uma atividade econômica, se juntavam aos habitantes da vila de São Paulo de Piratininga e partiam nas expedições conhecidas como bandeiras.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
53,"santos - par. 16","No fim do século XVIII, a vila retoma o desenvolvimento e sua população começa a crescer. A construção da Calçada do Lorena - estrada de ligação de Santos com São Paulo, o desenvolvimento na infraestrutura (iluminação pública, melhoramentos no porto) e a posterior abertura dos portos brasileiros com a vinda da família real portuguesa reativaram o dinamismo econômico da vila.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
54,"santos - par. 17","Cabe destacar que vários episódios relacionados à independência do Brasil ocorreram em Santos, tais como a rebelião militar dos Quartéis de Santos liderada de Chaguinhas contra a tentativa das Cortes Constitucionais de Lisboa de fazer retroceder o Brasil à condição de colônia, e a passagem de D. Pedro I por Santos justo antes do célebre Grito da Independência. Aliás, note-se que o imperador nunca escondeu sua simpatia pela região, chegando a conferir à sua amante o título de Marquesa de Santos.[27][28][29]","2026/08/27","https://pt.wikipedia.org/wiki/Santos"
